CD_CVM;DENOM_CIA;CD_CONTA;DS_CONTA;VL_CONTA;ORDEM_EXERC
001023;BCO BRASIL S.A.;1;Ativo Total;2455143253.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.01;Caixa e Equivalentes de Caixa;59635525.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.01.01;Caixa;19737849.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.01.02;Aplicações de Liquidez;39897676.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02;Ativos Financeiros;2201148106.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.01;Depósito Compulsório Banco Central;120016133.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.02;Ativos Financeiros Avaliados ao Valor Justo através do Resultado;12277786.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.02.01;Títulos e Valores Mobiliários;7620302.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.02.02;Derivativos;4657484.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.03;Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes;673139259.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.03.01;Títulos e Valores Mobiliários;673139259.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04;Ativos Financeiros ao Custo Amortizado;1395714928.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.01;Aplicações em Depósitos Interfinanceiros;21528323.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.02;Aplicações no Mercado Aberto;128038520.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.03;Títulos e Valores Mobiliários;47261092.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.04;Operações de Crédito;1133069621.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.05;Provisão para Perdas Esperadas Associadas ao Risco de Crédito;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.06;Operações de Arrendamento;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.07;Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.08;Outros Ativos Financeiros;65817372.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.03;Tributos;101756821.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.03.01;Imposto de Renda e Contribuição Social - Correntes;12408456.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.03.02;Imposto de Renda e Contribuição Social - Diferidos;89348365.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.03.03;Outros;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.04;Outros Ativos;40144322.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.04.01;Ativos Não Correntes a Venda;298917.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.04.02;Ativos de Operações Descontinuadas;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.04.03;Outros;39845405.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.05;Investimentos;21916589.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.05.01;Participações em Coligadas;21916589.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.05.02;Participações em Controladas em Conjunto;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.05.03;Propriedades para Investimento;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.05.04;Outros Investimentos;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.06;Imobilizado;18488742.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.06.01;Imobilizado de Uso;13700864.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.06.02;Direito de Uso de Arrendamento;4787878.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.06.03;Depreciação Acumulada;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.07;Intangível;12053148.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.07.01;Intangíveis;12053148.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.07.02;Goodwill;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.07.03;Amortização Acumulada;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1;Ativo Total;279685593.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01;Ativo Circulante;52090586.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.01;Caixa e Equivalentes de Caixa;16417860.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.01.01;Caixa;16417860.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.02;Aplicações Financeiras;11133842.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;11133842.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.02.01.01;Títulos para Negociação;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.02.01.02;Títulos Designados a Valor Justo;11133842.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.02.01.03;Títulos e valores mobiliários;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.03;Contas a Receber;5575589.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.03.01;Clientes;5575589.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.03.02;Outras Contas a Receber;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.04;Estoques;422546.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.04.01;Almoxarifado;422546.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.05;Ativos Biológicos;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.06;Tributos a Recuperar;2766765.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.06.01;Tributos Correntes a Recuperar;2766765.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.07;Despesas Antecipadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.08;Outros Ativos Circulantes;15773984.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.08.03;Outros;15773984.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.08.03.01;Ativo contratual de transmissão;10693181.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.08.03.02;Empréstimos, financiamentos e debêntures;10625.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.08.03.03;Remuneração de Participações Societárias;470142.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.08.03.04;Imposto de renda e contribuição social;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.08.03.05;Direito de Ressarcimento;752496.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.08.03.06;Instrumentos financeiros derivativos;64334.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.08.03.07;Ativos Mantidos para Venda;1072431.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.08.03.08;Diversos;2050516.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.01.08.03.09;Caixa Restrito;660259.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02;Ativo Não Circulante;227595007.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01;Ativo Realizável a Longo Prazo;86792940.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;722673.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.01.01;Títulos Designados a Valor Justo;722673.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.03.01;Títulos e Valores Mobiliários;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.04;Contas a Receber;522859.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.04.01;Clientes;522859.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.04.02;Outras Contas a Receber;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.05;Estoques;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.05.01;Almoxarifado;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.05.02;Estoque de Combustível Nuclear;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.06;Ativos Biológicos;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.07;Tributos Diferidos;20678602.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.07.01;Tributos a Recuperar;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.07.02;Imposto de renda e contribuição social correntes;3178769.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.07.03;Imposto de renda e contribuição social diferidos;17499833.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.08;Despesas Antecipadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.09;Créditos com Partes Relacionadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.09.01;Créditos com Coligadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.09.03;Créditos com Controladores;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.09.04;Créditos com Outras Partes Relacionadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.10;Outros Ativos Não Circulantes;64868806.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.10.01;Ativos Não-Correntes a Venda;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.10.02;Ativos de Operações Descontinuadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.10.03;Caixa restrito;3436804.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.10.04;Ativo contratual de transmissão;53567662.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.10.05;Empréstimos, financiamentos e debêntures;180568.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.10.06;Cauções e depósitos judiciais;5762270.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.10.07;Direito de ressarcimento;2176.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.10.08;Instrumentos Financeiros Derivativos;1072386.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.01.10.09;Diversos;846940.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.02;Investimentos;24517185.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.02.01;Participações Societárias;24517185.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.02.01.01;Participações em Coligadas;5686855.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.02.01.04;Participações em Controladas em Conjunto;17635961.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.02.01.05;Outros Investimentos;1194369.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.02.02;Propriedades para Investimento;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.03;Imobilizado;39659177.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.03.01;Imobilizado em Operação;35709700.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.03.02;Direito de Uso em Arrendamento;441864.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.03.03;Imobilizado em Andamento;3507613.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.04;Intangível;76625705.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.04.01;Intangíveis;76625705.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.04.01.01;Contrato de Concessão;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.04.01.02;Intangíveis em serviço;75931466.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.04.01.03;Intangíveis em andamento;694239.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;1.02.04.02;Goodwill;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1;Ativo Total;1356384.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01;Ativo Circulante;729116.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.01;Caixa e Equivalentes de Caixa;424671.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.02;Aplicações Financeiras;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.02.01.01;Títulos para Negociação;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.02.01.02;Títulos Designados a Valor Justo;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.03;Contas a Receber;63034.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.03.01;Clientes;63034.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.03.02;Outras Contas a Receber;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.04;Estoques;18130.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.05;Ativos Biológicos;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.06;Tributos a Recuperar;54946.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.06.01;Tributos Correntes a Recuperar;54946.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.07;Despesas Antecipadas;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.08;Outros Ativos Circulantes;168335.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.08.03;Outros;168335.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.08.03.01;Prêmio pela Repactuação do Risco Hidrológico;1162.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.08.03.02;Ativos de Contrato;127950.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.08.03.03;Depósitos Judiciais e Cauções;90.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1.01.08.03.04;Dividendos e Juros sobre Capital Próprio;27123.0000000000;ÚLTIMO
