CD_CVM;DENOM_CIA;CD_CONTA;DS_CONTA;VL_CONTA;ORDEM_EXERC
002437;AXIA ENERGIA S.A.;2.01.02.02;Fornecedores Estrangeiros;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.03;Obrigações Fiscais;1021353.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.03.01;Obrigações Fiscais Federais;1021353.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.03.01.02;Tributos a Recolher;1021353.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.03.02;Obrigações Fiscais Estaduais;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.03.03;Obrigações Fiscais Municipais;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.04;Empréstimos e Financiamentos;13204168.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.04.01;Empréstimos e Financiamentos;5648556.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.04.01.01;Em Moeda Nacional;3524418.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.04.01.02;Em Moeda Estrangeira;2124138.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.04.02;Debêntures;7555612.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.04.03;Financiamento por Arrendamento;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05;Outras Obrigações;12170508.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.01;Passivos com Partes Relacionadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.01.01;Débitos com Coligadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.01.03;Débitos com Controladores;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.01.04;Débitos com Outras Partes Relacionadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02;Outros;12170508.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.01;Dividendos e JCP a Pagar;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.04;Remuneração aos acionistas;136124.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.05;Empréstimo compulsório;1406460.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.06;Empréstimo compulsório - Acordos;1073452.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.07;Adiantamento de clientes;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.08;Obrigações de ressarcimento;300694.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.09;Benefício pós-emprego;303832.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.10;Encargos Setoriais;886565.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.11;Contratos Onerosos;113944.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.12;Obrigações com pessoal;1060856.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.13;Obrigações decorrentes da Lei 14.182/2021;3738498.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.14;Instrumentos financeiros derivativos;1651632.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.15;Devoluções RGR;695705.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.16;Arrendamento;72980.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.05.02.17;Diversos;729766.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.06;Provisões;666092.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.06.01.01;Provisões Fiscais;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.06.01.03;Provisões para Benefícios a Empregados;0.0000000000;ÚLTIMO
