CD_CVM;DENOM_CIA;CD_CONTA;DS_CONTA;VL_CONTA;ORDEM_EXERC
001023;BCO BRASIL S.A.;6.01;Caixa Líquido das Atividades Operacionais;159254089.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.01;Caixa Gerado pelas Operações;91661845.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.01.01;Lucro ou Prejuízo Líquido antes dos Tributos sobre o Lucro;16781938.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.01.02;Ajustes ao Lucro ou Prejuízo;74879907.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02;Variações nos Ativos e Passivos;67592244.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.01;Variação líquida em depósitos no Banco Central do Brasil;-4318544.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.02;Variação líquida em aplicações interfinanceiras de liquidez;187112115.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.03;Variação líquida em aplicações em operações compromissadas;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.04;Variação líquida em ativos financeiros ao VJR;6551305.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.05;Variação líquida na carteira de crédito;-177770222.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.06;Variação líquida em ativos não correntes disponíveis para venda;-437906.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.07;Variação líquida em outros ativos;-13095289.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.08;Variação líquida em recursos de clientes;24226758.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.09;Variação líquida em valores a pagar a instituições financeiras;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.10;Variação líquida em passivos financeiros ao VJR;-3791947.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.11;Variação líquida em recursos de instituições financeiras;3014920.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.12;Variação líquida em recursos de emissões de títulos e valores mobiliários;909841.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.13;Variação líquida em outros passivos;51670704.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.14;Caixa pago em impostos sobre a renda;-6479491.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.03;Outros;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02;Caixa Líquido Atividades de Investimento;-168393035.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.01;Compra de Ativos financeiros ao VJORA;-373112342.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.02;Venda de Ativos Financeiros ao VJORA;232845235.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.03;Compra de títulos e valores mobiliários ao custo amortizado;-45323381.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.04;Resgate de títulos e valores mobiliários ao custo amortizado;16192932.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.05;Compra de ativo imobilizado;-4024772.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.06;Venda de ativo imobilizado;13403.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.07;Aquisição de investimentos em coligadas e joint ventures;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.08;Alienação de investimentos em coligadas e joint ventures;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.09;Aquisição de ativos intangíveis;-3341714.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.10;Alienação de ativos intangíveis;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.11;Dividendos e juros sobre capital próprio recebidos;8369146.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.12;Resgate de ações preferenciais da UBS BB;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.13;Aporte de capital social - Broto S.A.;-15000.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.14;Resgate de ações Cateno;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.15;Alienação de participação na Galgo;3458.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.16;Aporte de capital social - Brasilprev Seguros e Previdência S.A.;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.17;Aporte de capital social - Brasilcap Capitalização S.A.;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.18;Aporte de capital social - Quod;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03;Caixa Líquido Atividades de Financiamento;-6842512.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.01;Liquidação de passivos de longo prazo;-10331266.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.02;Juros de instrumento elegível a capital principal pagos;-220229.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.03;Liquidação de arrendamentos;-1309310.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.04;Dividendos ou juros sobre o capital próprio pagos aos acionistas controladores;-6680889.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.05;Dividendos ou juros sobre o capital próprio pagos aos acionistas não controladores;-2694118.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.06;Captação de passivos de longo prazo;14393300.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.07;Efeito líquido na alienação de ações em tesouraria;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.08;Caixa pago aos acionistas não controladores na redução de capital da BB Seguridade;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.09;Transações patrimoniais com proprietários;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.10;Variação de participação de acionistas não controladores;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.04;Variação Cambial s/ Caixa e Equivalentes;-7550260.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.05;Aumento (Redução) de Caixa e Equivalentes;-23531718.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.05.01;Saldo Inicial de Caixa e Equivalentes;83167243.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.05.02;Saldo Final de Caixa e Equivalentes;59635525.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01;Caixa Líquido Atividades Operacionais;14509829.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01;Caixa Gerado nas Operações;6012103.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.01;Resultado antes do IR e da CSLL;-6979949.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.02;Receitas de Transmissão;-20115786.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.03;Custos de Construção - Transmissão;5065204.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.04;Remensurações regulatórias - Transmissão;4081630.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.05;Depreciação e amortização;4576919.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.06;Provisões (reversões) operacionais;635737.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.07;Variações monetárias e cambiais líquidas;2638556.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.08;Encargos financeiros líquidos;7712001.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.09;Resultado da dívida protegida (hedge) e derivativos;3335117.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.10;Resultado da equivalência patrimonial;-1913039.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.11;Outras;10521.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.12;Baixas de imobilizado e intangível;-264277.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.13;Resultado de aquisições e desinvestimentos;7229469.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02;Variações nos Ativos e Passivos;1115078.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02.01;Clientes;223722.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02.02;Direito de Ressarcimento;918862.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02.03;Outros ativos;455268.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02.04;Fornecedores;856268.0000000000;ÚLTIMO
