CD_CVM;DENOM_CIA;CD_CONTA;DS_CONTA;VL_CONTA;ORDEM_EXERC
001023;BCO BRASIL S.A.;3.01;Receitas de Intermediação Financeira;319462104.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.01.01;Receita de Juros;319462104.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.02;Despesas de Intermediação Financeira;-218451386.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.02.01;Despesa de Juros;-218451386.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.03;Resultado Bruto de Intermediação Financeira;101010718.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04;Outras Despesas e Receitas Operacionais;-95397082.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.01;Despesa de Provisão para Perda Esperada para Risco de Crédito;-66633285.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.02;Receitas de Prestação de Serviços;34714379.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.03;Despesas com Pessoal;-29178666.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.04;Outras Despesas de Administrativas;-9455529.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.05;Despesas Tributárias;-8919531.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.06;Outras Receitas Operacionais;11222487.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.06.01;Ganhos líquidos sobre instrumentos financeiros;-2160784.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.06.02;Resultado líquido em operações de câmbio e em conversão de transações em moedas estrangeiras;-1547285.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.06.03;Outras;14930556.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.07;Outras Despesas Operacionais;-34998114.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.07.01;Amortização de ativos intangíveis;-2709568.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.07.02;Provisões trabalhistas, fiscais e cíveis;-12465825.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.07.03;Depreciação;-3268708.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.07.04;Outras;-16554013.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.08;Resultado da Equivalência Patrimonial;7851177.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.05;Resultado antes dos Tributos sobre o Lucro;5613636.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;11168302.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.06.01;Corrente;-6107576.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.06.02;Diferido;17275878.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.07;Lucro ou Prejuízo das Operações Continuadas;16781938.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.08;Resultado Líquido das Operações Descontinuadas;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.09;Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias;16781938.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.10;Participações nos Lucros e Contribuições Estatutárias;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.11;Lucro ou Prejuízo Líquido Consolidado do Período;16781938.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.11.01;Atribuído aos Sócios da Empresa Controladora;13698124.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.11.02;Atribuído aos Sócios não Controladores;3083814.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.99;Lucro por Ação (R$/Ação);2.4000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.99.01;Lucro Básico por Ação;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.99.02;Lucro Diluído por Ação;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.01;Receita de Venda de Bens e/ou Serviços;41281596.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.02;Custo dos Bens e/ou Serviços Vendidos;-23564406.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.03;Resultado Bruto;17717190.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.04;Despesas/Receitas Operacionais;-13770608.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.04.01;Despesas com Vendas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.04.02;Despesas Gerais e Administrativas;-12001962.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.04.04;Outras Receitas Operacionais;-3622630.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.04.04.01;Outras Receitas Operacionais;459000.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.04.04.02;Remensurações regulatórias - Contratos de Transmissão;-4081630.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.04.05;Outras Despesas Operacionais;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.04.06;Resultado de Equivalência Patrimonial;1853984.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;3946582.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.06;Resultado Financeiro;-10926530.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.06.01;Receitas Financeiras;8541563.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.06.02;Despesas Financeiras;-19468093.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.07;Resultado Antes dos Tributos sobre o Lucro;-6979948.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;13539607.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.08.01;Corrente;-333039.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.08.02;Diferido;13872646.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.09;Resultado Líquido das Operações Continuadas;6559659.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.10;Resultado Líquido de Operações Descontinuadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.10.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.11;Lucro/Prejuízo Consolidado do Período;6559659.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.11.01;Atribuído a Sócios da Empresa Controladora;6558475.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.11.02;Atribuído a Sócios Não Controladores;1183.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.99;Lucro por Ação - (Reais / Ação);0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.99.01;Lucro Básico por Ação;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.99.01.01;ON;2.2900000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.99.01.02;PNA;2.5200000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.99.01.03;PNB;2.5200000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.99.01.04;PNC;2.2900000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.99.02;Lucro Diluído por Ação;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.99.02.01;ON;2.2700000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.99.02.02;PNA;2.5000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.99.02.03;PNB;2.5000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;3.99.02.04;PNC;2.2700000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.01;Receita de Venda de Bens e/ou Serviços;510334.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.02;Custo dos Bens e/ou Serviços Vendidos;-286984.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.02.01;Custo com Energia Elétrica;-83809.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.02.02;Custo de Operação;-143693.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.02.03;Custo do Serviços Prestados a Terceiros;-59482.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.02.04;Custo com revenda de Gás;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.03;Resultado Bruto;223350.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.04;Despesas/Receitas Operacionais;5042.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.04.01;Despesas com Vendas;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.04.02;Despesas Gerais e Administrativas;-79990.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.04.04;Outras Receitas Operacionais;3210.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.04.05;Outras Despesas Operacionais;-6807.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.04.06;Resultado de Equivalência Patrimonial;88629.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;228392.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.06;Resultado Financeiro;84425.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.06.01;Receitas Financeiras;90867.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.06.02;Despesas Financeiras;-6442.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.07;Resultado Antes dos Tributos sobre o Lucro;312817.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-64758.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.08.01;Corrente;-66743.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.08.02;Diferido;1985.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.09;Resultado Líquido das Operações Continuadas;248059.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.10;Resultado Líquido de Operações Descontinuadas;-12749.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.10.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;-12749.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.10.01.01;Participações e contribuições (partes beneficiadas);-12749.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.11;Lucro/Prejuízo Consolidado do Período;235310.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.11.01;Atribuído a Sócios da Empresa Controladora;185575.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.11.02;Atribuído a Sócios Não Controladores;49735.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.99;Lucro por Ação - (Reais / Ação);0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.99.01;Lucro Básico por Ação;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.99.01.01;ON;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.99.01.02;PNA;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.99.01.03;PNB;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.99.02;Lucro Diluído por Ação;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.99.02.01;ON;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.99.02.02;PNA;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;3.99.02.03;PNB;0.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.01;Receita de Venda de Bens e/ou Serviços;8157897.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.02;Custo dos Bens e/ou Serviços Vendidos;-7166933.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.03;Resultado Bruto;990964.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.04;Despesas/Receitas Operacionais;-448404.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.04.01;Despesas com Vendas;-241700.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.04.01.01;Comerciais;-241700.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.04.02;Despesas Gerais e Administrativas;-308812.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.04.04;Outras Receitas Operacionais;0.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.04.05;Outras Despesas Operacionais;44235.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.04.05.01;Perda por redução ao valor recuperável de contas a receber e adiantamentos;-7225.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.04.05.02;Outras receitas (despesas) líquidas;51460.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.04.06;Resultado de Equivalência Patrimonial;57873.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;542560.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.06;Resultado Financeiro;81142.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.06.01;Receitas Financeiras;864817.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.06.02;Despesas Financeiras;-783675.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.07;Resultado Antes dos Tributos sobre o Lucro;623702.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-52903.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.08.01;Corrente;-74477.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;3.08.02;Diferido;21574.0000000000;ÚLTIMO
